activity,rate_2024,rate_2025,change_pp,direction,reliability,mover_rank
Fitness/Gym,30.331,34.102,3.771,Rising,,1
Pilates,5.788,7.181,1.392,Rising,,2
Pickleball/padel,0.698,1.314,0.615,Rising,,3
Bush walking,16.857,17.468,0.612,Rising,,4
Running/jogging,15.988,16.525,0.537,Rising,,5
Weight lifting,1.448,0.982,-0.466,Falling,,6
Cycling,8.589,8.294,-0.295,Falling,,7
Walking (Recreational),49.926,50.204,0.277,Rising,,8
Basketball,4.734,4.526,-0.209,Falling,,9
Swimming,15.191,15.39,0.199,Rising,,10
"Athletics, track and field",1.51,1.318,-0.192,Falling,,11
Australian football,2.609,2.417,-0.192,Falling,,12
Football/soccer,5.437,5.624,0.187,Rising,,13
Adventure racing,0.236,0.072,-0.163,Falling,,14
Table tennis,1.639,1.79,0.151,Rising,,15
Dancing (recreational),1.778,1.629,-0.149,Falling,,16
Motor cycling,1.095,0.947,-0.148,Falling,,17
Fishing (recreational),1.21,1.07,-0.14,Falling,,18
Tennis,5.081,4.941,-0.14,Falling,,19
Mountain biking,0.592,0.726,0.133,Rising,,20
Air sports,0.355,0.224,-0.131,Falling,,21
Golf,4.685,4.563,-0.122,Falling,,22
Calisthenics,0.24,0.359,0.12,Rising,,23
Volleyball (indoor and outdoor),1.426,1.307,-0.119,Falling,,24
Sport climbing,0.43,0.542,0.113,Rising,,25
Yoga,4.98,5.072,0.092,Rising,,26
Scootering,0.175,0.085,-0.09,Falling,,27
Virtual based physical activity,1.03,0.95,-0.081,Falling,,28
Oztag,0.301,0.223,-0.077,Falling,,29
Skate,0.473,0.396,-0.077,Falling,,30
Crossfit/Functional fitness,0.571,0.648,0.076,Rising,,31
DanceSport,1.047,1.123,0.076,Rising,,32
Cricket,2.419,2.492,0.073,Rising,,33
Baseball,0.382,0.309,-0.072,Falling,,34
Squash,0.461,0.39,-0.071,Falling,,35
Archery,0.247,0.179,-0.068,Falling,,36
eSports,0.275,0.211,-0.064,Falling,,37
Hockey,0.448,0.512,0.064,Rising,,38
Muay Thai,0.105,0.166,0.061,Rising,,39
Touch football,0.768,0.712,-0.056,Falling,,40
Martial arts,0.678,0.626,-0.052,Falling,,41
Bowls,0.885,0.834,-0.05,Falling,,42
Waterskiing/Wakeboarding,0.197,0.15,-0.047,Falling,,43
Boxing,0.893,0.848,-0.046,Falling,,44
