dimension,group,barrier,percentage,reliability
All adults,All adults,Poor health or injury,27.218,
All adults,All adults,Increasing age/too old,22.476,
All adults,All adults,Disability,15.109,
All adults,All adults,Too lazy,15.641,
All adults,All adults,Not enough time/too many other commitments,13.051,
All adults,All adults,Don't like sport/physical activity,14.366,
All adults,All adults,Not a priority,12.225,
All adults,All adults,Nobody to do it with,7.727,
All adults,All adults,Can't afford it,6.676,
All adults,All adults,Fear of injury,6.591,
All adults,All adults,Physical job,5.75,
All adults,All adults,The weather,5.189,
All adults,All adults,Not good enough,5.679,
All adults,All adults,Too busy doing children's activities,3.411,
All adults,All adults,Looking after child/ren,3.662,
All adults,All adults,Not value for money/not worth it,3.324,
All adults,All adults,No transport/can't get there,2.569,
All adults,All adults,No opportunities/facilities/clubs in my areas,2.311,
All adults,All adults,Too competitive,2.831,
All adults,All adults,Fear of discrimination,2.31,
All adults,All adults,Not familiar with activity/rules,1.932,
All adults,All adults,Pregnancy,1.359,
All adults,All adults,No longer interested/don't like it,0.923,
All adults,All adults,Not culturally appropriate,0.58,
Gender,Male,Poor health or injury,24.57,
Gender,Male,Increasing age/too old,20.004,
Gender,Male,Disability,13.027,
Gender,Male,Too lazy,15.99,
Gender,Male,Not enough time/too many other commitments,13.226,
Gender,Male,Don't like sport/physical activity,11.499,
Gender,Male,Not a priority,13.702,
Gender,Male,Nobody to do it with,7.495,
Gender,Male,Can't afford it,4.473,
Gender,Male,Fear of injury,6.593,
Gender,Male,Physical job,7.59,
Gender,Male,The weather,5.049,
Gender,Male,Not good enough,5.121,
Gender,Male,Too busy doing children's activities,2.784,
Gender,Male,Looking after child/ren,2.859,
Gender,Male,Not value for money/not worth it,3.284,
Gender,Male,No transport/can't get there,2.051,
Gender,Male,No opportunities/facilities/clubs in my areas,2.526,
Gender,Male,Too competitive,3.511,
Gender,Male,Fear of discrimination,2.298,
Gender,Male,Not familiar with activity/rules,2.276,
Gender,Male,Pregnancy,0.44,*
Gender,Male,No longer interested/don't like it,1.087,
Gender,Male,Not culturally appropriate,0.739,*
Gender,Female,Poor health or injury,29.614,
Gender,Female,Increasing age/too old,24.871,
Gender,Female,Disability,16.896,
Gender,Female,Too lazy,15.476,
Gender,Female,Not enough time/too many other commitments,13.04,
Gender,Female,Don't like sport/physical activity,16.831,
Gender,Female,Not a priority,11.128,
Gender,Female,Nobody to do it with,7.978,
Gender,Female,Can't afford it,8.374,
Gender,Female,Fear of injury,6.634,
Gender,Female,Physical job,4.071,
Gender,Female,The weather,5.395,
Gender,Female,Not good enough,6.164,
Gender,Female,Too busy doing children's activities,4.014,
Gender,Female,Looking after child/ren,4.385,
Gender,Female,Not value for money/not worth it,3.309,
Gender,Female,No transport/can't get there,3.022,
Gender,Female,No opportunities/facilities/clubs in my areas,2.053,
Gender,Female,Too competitive,2.281,
Gender,Female,Fear of discrimination,2.319,
Gender,Female,Not familiar with activity/rules,1.662,
Gender,Female,Pregnancy,2.185,
Gender,Female,No longer interested/don't like it,0.794,
Gender,Female,Not culturally appropriate,0.451,*
Age group,15-17,Poor health or injury,19.891,
Age group,15-17,Increasing age/too old,1.329,**
Age group,15-17,Disability,8.447,*
Age group,15-17,Too lazy,27.513,
Age group,15-17,Not enough time/too many other commitments,14.132,
Age group,15-17,Don't like sport/physical activity,23.421,
Age group,15-17,Not a priority,13.833,
Age group,15-17,Nobody to do it with,16.951,
Age group,15-17,Can't afford it,9.397,
Age group,15-17,Fear of injury,7.949,*
Age group,15-17,Physical job,6.15,*
Age group,15-17,The weather,5.493,*
Age group,15-17,Not good enough,17.229,
Age group,15-17,Too busy doing children's activities,0.945,**
Age group,15-17,Looking after child/ren,2.992,*
Age group,15-17,Not value for money/not worth it,4.981,*
Age group,15-17,No transport/can't get there,3.439,*
Age group,15-17,No opportunities/facilities/clubs in my areas,3.586,*
Age group,15-17,Too competitive,7.164,*
Age group,15-17,Fear of discrimination,9.979,
