activity,group_type,group,participants
Adventure racing,Total,Total,16342
Adventure racing,Sex,Male,9490
Adventure racing,Sex,Female,5806
Adventure racing,Age,15-17,0
Adventure racing,Age,18-24,4712
Adventure racing,Age,25-34,5309
Adventure racing,Age,35-44,3794
Adventure racing,Age,45-54,2175
Adventure racing,Age,55-64,0
Adventure racing,Age,65+,354
Air sports,Total,Total,50734
Air sports,Sex,Male,34679
Air sports,Sex,Female,16055
Air sports,Age,15-17,3556
Air sports,Age,18-24,12552
Air sports,Age,25-34,15891
Air sports,Age,35-44,8371
Air sports,Age,45-54,4092
Air sports,Age,55-64,3601
Air sports,Age,65+,2670
Archery,Total,Total,40602
Archery,Sex,Male,26956
Archery,Sex,Female,13646
Archery,Age,15-17,2855
Archery,Age,18-24,3982
Archery,Age,25-34,11925
Archery,Age,35-44,10713
Archery,Age,45-54,6424
Archery,Age,55-64,3332
Archery,Age,65+,1371
"Athletics, track and field",Total,Total,298311
"Athletics, track and field",Sex,Male,192948
"Athletics, track and field",Sex,Female,105364
"Athletics, track and field",Age,15-17,58056
"Athletics, track and field",Age,18-24,72476
"Athletics, track and field",Age,25-34,86809
"Athletics, track and field",Age,35-44,41792
"Athletics, track and field",Age,45-54,19972
"Athletics, track and field",Age,55-64,9758
"Athletics, track and field",Age,65+,9448
Australian football,Total,Total,547129
Australian football,Sex,Male,422275
Australian football,Sex,Female,123909
Australian football,Age,15-17,60908
Australian football,Age,18-24,148853
Australian football,Age,25-34,193357
Australian football,Age,35-44,80489
Australian football,Age,45-54,46154
Australian football,Age,55-64,13812
Australian football,Age,65+,3555
Badminton,Total,Total,426925
Badminton,Sex,Male,247052
Badminton,Sex,Female,178209
Badminton,Age,15-17,91536
Badminton,Age,18-24,103744
Badminton,Age,25-34,120798
Badminton,Age,35-44,67048
Badminton,Age,45-54,27230
Badminton,Age,55-64,9494
Badminton,Age,65+,7075
Baseball,Total,Total,70050
Baseball,Sex,Male,51847
Baseball,Sex,Female,18204
Baseball,Age,15-17,7220
Baseball,Age,18-24,13512
Baseball,Age,25-34,19274
Baseball,Age,35-44,15366
Baseball,Age,45-54,12265
Baseball,Age,55-64,1711
Baseball,Age,65+,704
Basketball,Total,Total,1024360
Basketball,Sex,Male,758262
Basketball,Sex,Female,263310
Basketball,Age,15-17,174376
Basketball,Age,18-24,289627
Basketball,Age,25-34,250822
Basketball,Age,35-44,187823
Basketball,Age,45-54,87488
Basketball,Age,55-64,24246
Basketball,Age,65+,9978
Baton twirling,Total,Total,2672
Baton twirling,Sex,Male,1711
Baton twirling,Sex,Female,961
Baton twirling,Age,15-17,0
Baton twirling,Age,18-24,513
Baton twirling,Age,25-34,992
Baton twirling,Age,35-44,0
Baton twirling,Age,45-54,1167
Baton twirling,Age,55-64,0
Baton twirling,Age,65+,0
Biathlon,Total,Total,1309
Biathlon,Sex,Male,1309
Biathlon,Sex,Female,0
Biathlon,Age,15-17,0
Biathlon,Age,18-24,659
Biathlon,Age,25-34,0
Biathlon,Age,35-44,650
Biathlon,Age,45-54,0
Biathlon,Age,55-64,0
Biathlon,Age,65+,0
Billiards/Snooker/Pool,Total,Total,68765
Billiards/Snooker/Pool,Sex,Male,47120
Billiards/Snooker/Pool,Sex,Female,21645
Billiards/Snooker/Pool,Age,15-17,4285
Billiards/Snooker/Pool,Age,18-24,9711
Billiards/Snooker/Pool,Age,25-34,19770
Billiards/Snooker/Pool,Age,35-44,10621
Billiards/Snooker/Pool,Age,45-54,8457
Billiards/Snooker/Pool,Age,55-64,8005
Billiards/Snooker/Pool,Age,65+,7918
BMX,Total,Total,6337
BMX,Sex,Male,3504
BMX,Sex,Female,2833
BMX,Age,15-17,0
BMX,Age,18-24,1039
BMX,Age,25-34,1015
BMX,Age,35-44,2384
BMX,Age,45-54,1899
BMX,Age,55-64,0
BMX,Age,65+,0
Bobsledding,Total,Total,428
Bobsledding,Sex,Male,0
Bobsledding,Sex,Female,428
Bobsledding,Age,15-17,0
Bobsledding,Age,18-24,0
Bobsledding,Age,25-34,0
Bobsledding,Age,35-44,0
Bobsledding,Age,45-54,428
Bobsledding,Age,55-64,0
Bobsledding,Age,65+,0
Bocce/Boules,Total,Total,3157
Bocce/Boules,Sex,Male,1426
Bocce/Boules,Sex,Female,1731
Bocce/Boules,Age,15-17,0
