dimension,group,motivation,percentage,reliability
All adults,All adults,Physical health or fitness,66.54,
All adults,All adults,Fun/enjoyment,58.885,
All adults,All adults,To lose weight/keep weight off/tone,53.206,
All adults,All adults,To be outdoors/to enjoy nature,51.093,
All adults,All adults,Social reasons,44.216,
All adults,All adults,Psychological/mental health/therapy,37.629,
All adults,All adults,Sense of achievement,30.823,
All adults,All adults,Hobby,28.816,
All adults,All adults,Walk the dog,19.937,
All adults,All adults,Training purposes,20.511,
All adults,All adults,Learn a new skill,14.695,
All adults,All adults,Performance or competition,13.991,
All adults,All adults,Way of getting around,12.478,
All adults,All adults,Physio/rehab/physical therapy/post-op,12.395,
All adults,All adults,To be a good role model,9.326,
All adults,All adults,Professional/part of my job,4.352,
Gender,Male,Physical health or fitness,63.795,
Gender,Male,Fun/enjoyment,59.914,
Gender,Male,To lose weight/keep weight off/tone,50.602,
Gender,Male,To be outdoors/to enjoy nature,48.032,
Gender,Male,Social reasons,43.199,
Gender,Male,Psychological/mental health/therapy,33.366,
Gender,Male,Sense of achievement,30.514,
Gender,Male,Hobby,32.264,
Gender,Male,Walk the dog,15.774,
Gender,Male,Training purposes,24.814,
Gender,Male,Learn a new skill,14.108,
Gender,Male,Performance or competition,18.446,
Gender,Male,Way of getting around,11.68,
Gender,Male,Physio/rehab/physical therapy/post-op,11.504,
Gender,Male,To be a good role model,9.909,
Gender,Male,Professional/part of my job,4.879,
Gender,Female,Physical health or fitness,69.33,
Gender,Female,Fun/enjoyment,57.862,
Gender,Female,To lose weight/keep weight off/tone,55.843,
Gender,Female,To be outdoors/to enjoy nature,54.168,
Gender,Female,Social reasons,45.221,
Gender,Female,Psychological/mental health/therapy,41.775,
Gender,Female,Sense of achievement,31.06,
Gender,Female,Hobby,25.362,
Gender,Female,Walk the dog,24.093,
Gender,Female,Training purposes,16.299,
Gender,Female,Learn a new skill,15.257,
Gender,Female,Performance or competition,9.607,
Gender,Female,Way of getting around,13.194,
Gender,Female,Physio/rehab/physical therapy/post-op,13.275,
Gender,Female,To be a good role model,8.769,
Gender,Female,Professional/part of my job,3.832,
Age group,15-17,Physical health or fitness,61.51,
Age group,15-17,Fun/enjoyment,71.749,
Age group,15-17,To lose weight/keep weight off/tone,39.268,
Age group,15-17,To be outdoors/to enjoy nature,47.039,
Age group,15-17,Social reasons,56.555,
Age group,15-17,Psychological/mental health/therapy,27.101,
Age group,15-17,Sense of achievement,37.546,
Age group,15-17,Hobby,53.457,
Age group,15-17,Walk the dog,12.979,
Age group,15-17,Training purposes,34.576,
Age group,15-17,Learn a new skill,32.581,
Age group,15-17,Performance or competition,34.478,
Age group,15-17,Way of getting around,19.144,
Age group,15-17,Physio/rehab/physical therapy/post-op,5.746,
Age group,15-17,To be a good role model,10.116,
Age group,15-17,Professional/part of my job,6.009,
Age group,18-24,Physical health or fitness,62.126,
Age group,18-24,Fun/enjoyment,64.749,
Age group,18-24,To lose weight/keep weight off/tone,50.479,
Age group,18-24,To be outdoors/to enjoy nature,46.672,
Age group,18-24,Social reasons,54.569,
Age group,18-24,Psychological/mental health/therapy,36.521,
Age group,18-24,Sense of achievement,37.269,
Age group,18-24,Hobby,47.364,
Age group,18-24,Walk the dog,16.068,
Age group,18-24,Training purposes,31.051,
Age group,18-24,Learn a new skill,26.188,
Age group,18-24,Performance or competition,24.066,
Age group,18-24,Way of getting around,16.037,
Age group,18-24,Physio/rehab/physical therapy/post-op,10.506,
Age group,18-24,To be a good role model,9.106,
Age group,18-24,Professional/part of my job,8.469,
Age group,25-34,Physical health or fitness,62.53,
Age group,25-34,Fun/enjoyment,61.619,
Age group,25-34,To lose weight/keep weight off/tone,54.674,
Age group,25-34,To be outdoors/to enjoy nature,49.07,
Age group,25-34,Social reasons,49.183,
Age group,25-34,Psychological/mental health/therapy,42.393,
Age group,25-34,Sense of achievement,33.411,
Age group,25-34,Hobby,41.076,
