activity,entity,participants,category
Adventure racing,Sports club or association,2717,"Running, walking & outdoor"
Adventure racing,Recreation club or association,0,"Running, walking & outdoor"
Adventure racing,Gym/fitness club/sports/leisure centre,669,"Running, walking & outdoor"
Adventure racing,Private or commercial business,1488,"Running, walking & outdoor"
Adventure racing,Individual personal trainer or coach,1667,"Running, walking & outdoor"
Adventure racing,Educational institution,1547,"Running, walking & outdoor"
Air sports,Sports club or association,5157,Other
Air sports,Recreation club or association,4858,Other
Air sports,Gym/fitness club/sports/leisure centre,7824,Other
Air sports,Private or commercial business,11475,Other
Air sports,Individual personal trainer or coach,3885,Other
Air sports,Educational institution,1068,Other
Archery,Sports club or association,10234,Racquet & target sports
Archery,Recreation club or association,2284,Racquet & target sports
Archery,Gym/fitness club/sports/leisure centre,0,Racquet & target sports
Archery,Private or commercial business,2463,Racquet & target sports
Archery,Individual personal trainer or coach,2296,Racquet & target sports
Archery,Educational institution,1655,Racquet & target sports
"Athletics, track and field",Sports club or association,57737,"Running, walking & outdoor"
"Athletics, track and field",Recreation club or association,27033,"Running, walking & outdoor"
"Athletics, track and field",Gym/fitness club/sports/leisure centre,25367,"Running, walking & outdoor"
"Athletics, track and field",Private or commercial business,21119,"Running, walking & outdoor"
"Athletics, track and field",Individual personal trainer or coach,33602,"Running, walking & outdoor"
"Athletics, track and field",Educational institution,46974,"Running, walking & outdoor"
Australian football,Sports club or association,223957,Football codes
Australian football,Recreation club or association,58175,Football codes
Australian football,Gym/fitness club/sports/leisure centre,47904,Football codes
Australian football,Private or commercial business,26919,Football codes
Australian football,Individual personal trainer or coach,37482,Football codes
Australian football,Educational institution,52182,Football codes
Badminton,Sports club or association,41478,Racquet & target sports
Badminton,Recreation club or association,23246,Racquet & target sports
Badminton,Gym/fitness club/sports/leisure centre,13581,Racquet & target sports
Badminton,Private or commercial business,7809,Racquet & target sports
Badminton,Individual personal trainer or coach,15293,Racquet & target sports
Badminton,Educational institution,56496,Racquet & target sports
Baseball,Sports club or association,28238,Other team sports
Baseball,Recreation club or association,6171,Other team sports
Baseball,Gym/fitness club/sports/leisure centre,3634,Other team sports
Baseball,Private or commercial business,5172,Other team sports
Baseball,Individual personal trainer or coach,5803,Other team sports
Baseball,Educational institution,5347,Other team sports
Basketball,Sports club or association,226880,Other team sports
Basketball,Recreation club or association,97103,Other team sports
Basketball,Gym/fitness club/sports/leisure centre,67518,Other team sports
Basketball,Private or commercial business,29318,Other team sports
Basketball,Individual personal trainer or coach,37257,Other team sports
Basketball,Educational institution,109463,Other team sports
Baton twirling,Sports club or association,1105,"Dance, gymnastics & performance"
Baton twirling,Recreation club or association,1622,"Dance, gymnastics & performance"
Baton twirling,Gym/fitness club/sports/leisure centre,1198,"Dance, gymnastics & performance"
Baton twirling,Private or commercial business,2135,"Dance, gymnastics & performance"
Baton twirling,Individual personal trainer or coach,938,"Dance, gymnastics & performance"
Baton twirling,Educational institution,568,"Dance, gymnastics & performance"
Biathlon,Sports club or association,659,Winter & ice sports
Biathlon,Recreation club or association,0,Winter & ice sports
Biathlon,Gym/fitness club/sports/leisure centre,0,Winter & ice sports
Biathlon,Private or commercial business,659,Winter & ice sports
Biathlon,Individual personal trainer or coach,659,Winter & ice sports
Biathlon,Educational institution,0,Winter & ice sports
Billiards/Snooker/Pool,Sports club or association,4365,Racquet & target sports
Billiards/Snooker/Pool,Recreation club or association,1084,Racquet & target sports
Billiards/Snooker/Pool,Gym/fitness club/sports/leisure centre,4327,Racquet & target sports
Billiards/Snooker/Pool,Private or commercial business,2368,Racquet & target sports
Billiards/Snooker/Pool,Individual personal trainer or coach,1541,Racquet & target sports
Billiards/Snooker/Pool,Educational institution,732,Racquet & target sports
BMX,Sports club or association,3103,"Cycling, wheels & motor"
BMX,Recreation club or association,0,"Cycling, wheels & motor"
BMX,Gym/fitness club/sports/leisure centre,0,"Cycling, wheels & motor"
BMX,Private or commercial business,0,"Cycling, wheels & motor"
BMX,Individual personal trainer or coach,1368,"Cycling, wheels & motor"
