frequency,dimension,group,year,rate,reliability
At least once per week,Total,All adults,2024,67.069,
At least once per week,Total,All adults,2025,68.765,
At least once per week,Gender,Male,2024,66.977,
At least once per week,Gender,Male,2025,68.877,
At least once per week,Gender,Female,2024,67.322,
At least once per week,Gender,Female,2025,68.777,
At least once per week,Age group,15-17,2024,65.288,
At least once per week,Age group,15-17,2025,71.028,
At least once per week,Age group,18-24,2024,66.777,
At least once per week,Age group,18-24,2025,69.551,
At least once per week,Age group,25-34,2024,68.93,
At least once per week,Age group,25-34,2025,70.293,
At least once per week,Age group,35-44,2024,66.907,
At least once per week,Age group,35-44,2025,68.435,
At least once per week,Age group,45-54,2024,69.815,
At least once per week,Age group,45-54,2025,71.541,
At least once per week,Age group,55-64,2024,70.591,
At least once per week,Age group,55-64,2025,73.448,
At least once per week,Age group,65+,2024,61.825,
At least once per week,Age group,65+,2025,61.85,
At least three times per week,Total,All adults,2024,48.265,
At least three times per week,Total,All adults,2025,50.113,
At least three times per week,Gender,Male,2024,47.242,
At least three times per week,Gender,Male,2025,49.442,
At least three times per week,Gender,Female,2024,49.374,
At least three times per week,Gender,Female,2025,50.867,
At least three times per week,Age group,15-17,2024,44.604,
At least three times per week,Age group,15-17,2025,53.076,
At least three times per week,Age group,18-24,2024,46.94,
At least three times per week,Age group,18-24,2025,48.914,
At least three times per week,Age group,25-34,2024,48.68,
At least three times per week,Age group,25-34,2025,50.087,
At least three times per week,Age group,35-44,2024,46.005,
At least three times per week,Age group,35-44,2025,47.64,
At least three times per week,Age group,45-54,2024,50.887,
At least three times per week,Age group,45-54,2025,52.647,
At least three times per week,Age group,55-64,2024,53.724,
At least three times per week,Age group,55-64,2025,56.862,
At least three times per week,Age group,65+,2024,45.713,
At least three times per week,Age group,65+,2025,45.99,
