age_group,technology,tech_label,percentage
15-17,Apps for music,Music apps,66.354
15-17,Headphones/speakers,Headphones/speakers,54.935
15-17,Apps for tracking activity or training,Tracking apps,30.001
15-17,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,27.198
15-17,Apps for maps and GPS technology,Maps/GPS apps,23.262
15-17,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,15.313
15-17,Indoor smart trainers or treadmills,Smart trainers/treadmills,12.958
15-17,"Apps used during the activity, e.g. scoring",In-activity apps,10.566
15-17,Websites (not including social media sites) or online tools,Websites/online tools,9.574
15-17,Bike computers/speedometer/odometer,Bike computers,7.362
15-17,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,9.044
15-17,Motion sensing virtual exercise/activity based video games,Motion-sensing games,10.712
15-17,Cameras/Go-pros,Cameras/GoPros,4.21
15-17,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,3.625
15-17,Online programs requiring payment,Paid online programs,2.464
18-24,Apps for music,Music apps,63.055
18-24,Headphones/speakers,Headphones/speakers,57.893
18-24,Apps for tracking activity or training,Tracking apps,37.427
18-24,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,31.525
18-24,Apps for maps and GPS technology,Maps/GPS apps,26.284
18-24,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,19.572
18-24,Indoor smart trainers or treadmills,Smart trainers/treadmills,15.65
18-24,"Apps used during the activity, e.g. scoring",In-activity apps,13.734
18-24,Websites (not including social media sites) or online tools,Websites/online tools,11.631
18-24,Bike computers/speedometer/odometer,Bike computers,7.925
18-24,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,11.176
18-24,Motion sensing virtual exercise/activity based video games,Motion-sensing games,10.797
18-24,Cameras/Go-pros,Cameras/GoPros,6.018
18-24,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,5.758
18-24,Online programs requiring payment,Paid online programs,4.492
25-34,Apps for music,Music apps,56.884
25-34,Headphones/speakers,Headphones/speakers,52.382
25-34,Apps for tracking activity or training,Tracking apps,42.125
25-34,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,36.426
25-34,Apps for maps and GPS technology,Maps/GPS apps,26.284
25-34,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,18.93
25-34,Indoor smart trainers or treadmills,Smart trainers/treadmills,15.356
25-34,"Apps used during the activity, e.g. scoring",In-activity apps,12.898
25-34,Websites (not including social media sites) or online tools,Websites/online tools,11.108
25-34,Bike computers/speedometer/odometer,Bike computers,7.742
25-34,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,11.683
25-34,Motion sensing virtual exercise/activity based video games,Motion-sensing games,8.739
25-34,Cameras/Go-pros,Cameras/GoPros,6.218
25-34,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,5.669
25-34,Online programs requiring payment,Paid online programs,5.256
35-44,Apps for music,Music apps,47.35
35-44,Headphones/speakers,Headphones/speakers,43.317
35-44,Apps for tracking activity or training,Tracking apps,40.429
35-44,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,35.079
35-44,Apps for maps and GPS technology,Maps/GPS apps,23.484
35-44,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,15.121
35-44,Indoor smart trainers or treadmills,Smart trainers/treadmills,12.013
35-44,"Apps used during the activity, e.g. scoring",In-activity apps,10.521
35-44,Websites (not including social media sites) or online tools,Websites/online tools,9.982
35-44,Bike computers/speedometer/odometer,Bike computers,6.382
35-44,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,8.986
35-44,Motion sensing virtual exercise/activity based video games,Motion-sensing games,5.456
35-44,Cameras/Go-pros,Cameras/GoPros,4.087
35-44,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,4.505
35-44,Online programs requiring payment,Paid online programs,4.312
45-54,Apps for music,Music apps,39.186
45-54,Headphones/speakers,Headphones/speakers,37.979
45-54,Apps for tracking activity or training,Tracking apps,39.947
45-54,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,35.036
45-54,Apps for maps and GPS technology,Maps/GPS apps,21.507
45-54,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,11.624
45-54,Indoor smart trainers or treadmills,Smart trainers/treadmills,11.453
45-54,"Apps used during the activity, e.g. scoring",In-activity apps,9.647
45-54,Websites (not including social media sites) or online tools,Websites/online tools,8.717
45-54,Bike computers/speedometer/odometer,Bike computers,7.956
45-54,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,6.486
45-54,Motion sensing virtual exercise/activity based video games,Motion-sensing games,2.624
45-54,Cameras/Go-pros,Cameras/GoPros,3.293
45-54,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,3.111
45-54,Online programs requiring payment,Paid online programs,2.606
55-64,Apps for music,Music apps,28.483
55-64,Headphones/speakers,Headphones/speakers,28.209
55-64,Apps for tracking activity or training,Tracking apps,36.3
55-64,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,33.73
55-64,Apps for maps and GPS technology,Maps/GPS apps,20.354
55-64,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,10.398
55-64,Indoor smart trainers or treadmills,Smart trainers/treadmills,9.314
55-64,"Apps used during the activity, e.g. scoring",In-activity apps,9.217
55-64,Websites (not including social media sites) or online tools,Websites/online tools,8.601
55-64,Bike computers/speedometer/odometer,Bike computers,8.746
55-64,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,4.778
55-64,Motion sensing virtual exercise/activity based video games,Motion-sensing games,1.149
55-64,Cameras/Go-pros,Cameras/GoPros,3.252
55-64,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,1.766
55-64,Online programs requiring payment,Paid online programs,1.83
65+,Apps for music,Music apps,11.603
65+,Headphones/speakers,Headphones/speakers,11.196
65+,Apps for tracking activity or training,Tracking apps,20.811
65+,"Wearable technology such as Fitbit, watches, heart rate monitors",Wearables,23.889
65+,Apps for maps and GPS technology,Maps/GPS apps,10.467
65+,Watching/accompanying video sessions of physical activities/fitness/exercise,Workout videos,6.286
65+,Indoor smart trainers or treadmills,Smart trainers/treadmills,6.467
65+,"Apps used during the activity, e.g. scoring",In-activity apps,5.523
65+,Websites (not including social media sites) or online tools,Websites/online tools,5.445
65+,Bike computers/speedometer/odometer,Bike computers,6.793
65+,Free social media site/page such as Running Mums Australia or Urban Rec,Social media groups,2.503
65+,Motion sensing virtual exercise/activity based video games,Motion-sensing games,0.545
65+,Cameras/Go-pros,Cameras/GoPros,1.936
65+,"Online training platforms e.g. Zwift, Rouvy, Fulgaz",Online training platforms,0.812
65+,Online programs requiring payment,Paid online programs,0.541
